Feature,LR_AbsCoef,SVM_AbsCoef,LR_Rank,SVM_Rank,AvgRank
RXPACC,1.861425287928084,0.6418271045269058,1,1,1.0
MAX_NOISE,0.754802283831441,0.21424655657092265,2,2,2.0
STDEV_NOISE,0.5283042032827624,0.1407467439104898,3,3,3.0
RANGE,0.39811102397097003,0.12637427079304386,4,4,4.0
FP_IDX,0.3498703654942379,0.11304735260236641,5,5,5.0
FP_AMP3,0.3200426244691604,0.10019310330132569,6,6,6.0
CIR_PWR,0.22329686398479318,0.09462996614725128,8,7,7.5
CIR749,0.2231254449193454,0.06675681212510186,9,10,9.5
SNR_dB,0.21096649319273775,0.08177922905414153,11,8,9.5
CIR740,0.20784951168624127,0.07165411126312925,12,9,10.5
CIR745,0.18866606476085337,0.062383115729420825,13,11,12.0
CIR738,0.17522844787453454,0.05709574328757442,15,12,13.5
CIR747,0.18585244046564192,0.05602185551364606,14,13,13.5
CIR754,0.16774955775215059,0.05251627433498493,16,14,15.0
CIR752,0.15093559951584287,0.04592752138891932,17,15,16.0
CIR755,0.14462405559314478,0.04478094753772683,18,16,17.0
CIR753,0.14151025572698978,0.04275575924917044,19,17,18.0
CIR750,0.11912184329733116,0.03749200960047779,21,20,20.5
CIR743,0.1114207514519428,0.04076093167442308,23,18,20.5
CIR751,0.12161777715439044,0.03617830284485108,20,22,21.0
CIR746,0.1155256898446492,0.03682167657470713,22,21,21.5
CIR730,0.10942143579273692,0.03763340138072205,25,19,22.0
CIR835,0.10955784614923589,0.033015138264628416,24,23,23.5
CIR813,0.10373603275515342,0.032980426762472974,27,24,25.5
CIR756,0.09774004434172313,0.0305650463299582,28,25,26.5
CIR757,0.09394589816783168,0.028118796359555664,29,27,28.0
CIR810,0.09356107103868946,0.02831246168517158,30,26,28.0
FP_AMP1,0.24086295259008306,0.017923066430074536,7,50,28.5
CIR836,0.08787057118266978,0.027349552462774967,33,29,31.0
CIR771,0.08608242064624913,0.026721552916047536,34,30,32.0
CIR748,0.08121425855168053,0.028092141734534046,36,28,32.0
SNR,0.21722104545150112,0.017210668217234538,10,55,32.5
CIR739,0.08941963403810049,0.023596943155180485,32,36,34.0
CIR767,0.07962960480078901,0.02610494086197937,37,31,34.0
CIR801,0.08346975525380312,0.02521133683483076,35,34,34.5
CIR744,0.09264988498424893,0.02253568796505043,31,38,34.5
CIR783,0.0786282060813175,0.025914569234097837,38,32,35.0
CIR831,0.07573941889585896,0.02353666166036388,39,37,38.0
CIR815,0.0714111690364088,0.023641099152093937,42,35,38.5
CIR758,0.0730937982352977,0.021766054406209063,40,40,40.0
CIR808,0.07248868004083597,0.0216281347257196,41,41,41.0
CIR742,0.060197426989952466,0.025296048139684207,50,33,41.5
CIR773,0.06581493110367219,0.022237277547660885,45,39,42.0
CIR797,0.06935917469036221,0.020991425916353834,43,42,42.5
CIR804,0.06726812706166763,0.019659684384116836,44,45,44.5
CIR821,0.060929764486688194,0.02070504585134753,48,43,45.5
CIR761,0.06243830984335135,0.01908499693741805,47,47,47.0
CIR790,0.060326506137512545,0.019154575731184568,49,46,47.5
CIR787,0.05924800634557176,0.020599998178658693,52,44,48.0
CIR792,0.05594055790639224,0.018843529744133915,54,48,51.0
CIR834,0.05740538327492042,0.01877682333822925,53,49,51.0
CIR779,0.05443172951728159,0.01769744156255991,57,52,54.5
CIR812,0.05451723240892317,0.0173099943081544,55,54,54.5
CIR735,0.06432693197082402,0.013975519967852484,46,64,55.0
CIR778,0.051584899427190356,0.01785793053916108,59,51,55.0
CIR817,0.05447101997137908,0.01677963132798579,56,56,56.0
