Feature,Coefficient,AbsCoefficient
RXPACC,1.861425287928084,1.861425287928084
MAX_NOISE,-0.754802283831441,0.754802283831441
STDEV_NOISE,0.5283042032827624,0.5283042032827624
RANGE,-0.39811102397097003,0.39811102397097003
FP_IDX,-0.3498703654942379,0.3498703654942379
FP_AMP3,-0.3200426244691604,0.3200426244691604
FP_AMP1,-0.24086295259008306,0.24086295259008306
CIR_PWR,0.22329686398479318,0.22329686398479318
CIR749,-0.2231254449193454,0.2231254449193454
SNR,0.21722104545150112,0.21722104545150112
SNR_dB,-0.21096649319273775,0.21096649319273775
CIR740,0.20784951168624127,0.20784951168624127
CIR745,-0.18866606476085337,0.18866606476085337
CIR747,-0.18585244046564192,0.18585244046564192
CIR738,-0.17522844787453454,0.17522844787453454
CIR754,-0.16774955775215059,0.16774955775215059
CIR752,-0.15093559951584287,0.15093559951584287
CIR755,-0.14462405559314478,0.14462405559314478
CIR753,-0.14151025572698978,0.14151025572698978
CIR751,-0.12161777715439044,0.12161777715439044
CIR750,-0.11912184329733116,0.11912184329733116
CIR746,-0.1155256898446492,0.1155256898446492
CIR743,-0.1114207514519428,0.1114207514519428
CIR835,-0.10955784614923589,0.10955784614923589
CIR730,-0.10942143579273692,0.10942143579273692
PREAM_LEN,0.10443385727357637,0.10443385727357637
CIR813,0.10373603275515342,0.10373603275515342
CIR756,-0.09774004434172313,0.09774004434172313
CIR757,-0.09394589816783168,0.09394589816783168
CIR810,0.09356107103868946,0.09356107103868946
CIR744,-0.09264988498424893,0.09264988498424893
CIR739,-0.08941963403810049,0.08941963403810049
CIR836,0.08787057118266978,0.08787057118266978
CIR771,-0.08608242064624913,0.08608242064624913
CIR801,-0.08346975525380312,0.08346975525380312
CIR748,-0.08121425855168053,0.08121425855168053
CIR767,-0.07962960480078901,0.07962960480078901
CIR783,-0.0786282060813175,0.0786282060813175
CIR831,0.07573941889585896,0.07573941889585896
CIR758,-0.0730937982352977,0.0730937982352977
CIR808,0.07248868004083597,0.07248868004083597
CIR815,0.0714111690364088,0.0714111690364088
CIR797,-0.06935917469036221,0.06935917469036221
CIR804,0.06726812706166763,0.06726812706166763
CIR773,-0.06581493110367219,0.06581493110367219
CIR735,-0.06432693197082402,0.06432693197082402
CIR761,-0.06243830984335135,0.06243830984335135
CIR821,0.060929764486688194,0.060929764486688194
CIR790,-0.060326506137512545,0.060326506137512545
CIR742,0.060197426989952466,0.060197426989952466
CIR741,0.059708234701866966,0.059708234701866966
CIR787,-0.05924800634557176,0.05924800634557176
CIR834,0.05740538327492042,0.05740538327492042
CIR792,-0.05594055790639224,0.05594055790639224
CIR812,0.05451723240892317,0.05451723240892317
CIR817,0.05447101997137908,0.05447101997137908
CIR779,-0.05443172951728159,0.05443172951728159
CIR732,0.05215567700262656,0.05215567700262656
CIR778,0.051584899427190356,0.051584899427190356
CIR816,0.050026741620464464,0.050026741620464464
CIR785,-0.04881154017395999,0.04881154017395999
CIR796,0.047316164389586766,0.047316164389586766
CIR759,-0.0454403382283619,0.0454403382283619
CIR802,0.045438778612672245,0.045438778612672245
CIR781,-0.044990453000777905,0.044990453000777905
CIR820,0.044979106434577,0.044979106434577
CIR760,-0.04369200571287985,0.04369200571287985
CIR775,-0.04305179743863974,0.04305179743863974
CIR733,-0.04235522059247013,0.04235522059247013
CIR769,-0.04130680858588898,0.04130680858588898
CIR795,-0.04081655428311067,0.04081655428311067
CIR784,-0.03949336842053735,0.03949336842053735
CIR806,0.03924228365047882,0.03924228365047882
CIR824,0.03837782581862987,0.03837782581862987
CIR844,0.03818191252634305,0.03818191252634305
CIR828,0.0374487273954771,0.0374487273954771
CIR842,0.037261452241458534,0.037261452241458534
CIR764,-0.037172549222333214,0.037172549222333214
CIR788,-0.0359604841993364,0.0359604841993364
CIR818,0.03581662728744725,0.03581662728744725
CIR837,-0.035798010170126175,0.035798010170126175
CIR832,-0.035047264095740605,0.035047264095740605
CIR777,-0.034430012663028,0.034430012663028
CIR786,-0.033706974707456344,0.033706974707456344
CIR766,-0.033381758892669935,0.033381758892669935
CIR826,0.0330241370441575,0.0330241370441575
CIR789,-0.032423492009590396,0.032423492009590396
CIR843,-0.031381724344833425,0.031381724344833425
CIR794,-0.030958593577988722,0.030958593577988722
CIR822,0.0301351848437843,0.0301351848437843
CIR774,0.029878867276295504,0.029878867276295504
CIR847,0.029344048512354195,0.029344048512354195
CIR762,-0.028082620766838515,0.028082620766838515
CIR838,-0.028024404236068574,0.028024404236068574
CIR763,-0.0274176859068919,0.0274176859068919
CIR782,-0.027339480796005195,0.027339480796005195
CIR846,-0.025974397379074678,0.025974397379074678
CIR765,-0.025070221329813222,0.025070221329813222
CIR793,-0.022959556753498794,0.022959556753498794
CIR829,-0.02165803386335729,0.02165803386335729
CIR807,0.021092297415621547,0.021092297415621547
CIR809,0.020902980508874548,0.020902980508874548
CIR825,0.02039209945341442,0.02039209945341442
CIR800,0.019527899925516946,0.019527899925516946
CIR737,0.01916079114207946,0.01916079114207946
CIR780,0.018885744630819882,0.018885744630819882
CIR803,-0.018573888022742912,0.018573888022742912
CIR830,-0.018512563438191625,0.018512563438191625
CIR839,0.018357892607770314,0.018357892607770314
CIR849,-0.018344048535951597,0.018344048535951597
CIR736,-0.01800202549796285,0.01800202549796285
CIR833,-0.016527943991316178,0.016527943991316178
CIR811,0.016137420012330286,0.016137420012330286
CIR734,-0.015952556636646176,0.015952556636646176
FP_AMP2,0.014450380403221127,0.014450380403221127
CIR827,0.013884955740322212,0.013884955740322212
CIR798,-0.013791320273179374,0.013791320273179374
CIR841,-0.01356767864410064,0.01356767864410064
CIR772,0.012879902141943138,0.012879902141943138
CIR776,0.01221976034968547,0.01221976034968547
CIR819,0.01204044042416572,0.01204044042416572
CIR848,0.011957481089500073,0.011957481089500073
CIR805,-0.011846880867056089,0.011846880867056089
CIR770,-0.011008875547869041,0.011008875547869041
CIR768,-0.010053496783757651,0.010053496783757651
FRAME_LEN,0.008831707891103418,0.008831707891103418
CIR823,-0.008749876204179852,0.008749876204179852
CIR840,0.0070416743831194836,0.0070416743831194836
CIR845,0.0023107617087959227,0.0023107617087959227
CIR799,-0.001783308778884056,0.001783308778884056
CIR791,-0.0016162632401817915,0.0016162632401817915
CIR731,-0.000950078612410334,0.000950078612410334
CIR814,-0.00021030251849893277,0.00021030251849893277
BITRATE,0.0,0.0
CH,0.0,0.0
PRFR,0.0,0.0
