Feature,Importance
RXPACC,0.16148472
CIR_PWR,0.041806635
RANGE,0.03056509
FP_AMP3,0.02777342
STDEV_NOISE,0.02474334
MAX_NOISE,0.02173495
FP_AMP2,0.021407232
PEAK2_AMP,0.020419847
SNR,0.018279357
FP_AMP1,0.009101426
SNR_dB,0.008512096
CIR813,0.007167529
CIR767,0.0071426826
CIR806,0.007104961
CIR788,0.007082164
FRAME_LEN,0.0069197984
CIR805,0.006741715
CIR818,0.0066516614
CIR807,0.0065823053
CIR792,0.0065294346
CIR781,0.006486207
CIR740,0.006477249
CIR766,0.00647191
PEAK2_IDX,0.0064691342
CIR804,0.006465868
CIR787,0.0064328583
CIR808,0.006377018
CIR786,0.0063732546
CIR789,0.00634469
CIR785,0.0062670843
CIR810,0.00607512
PEAK2_GAP,0.0059318976
CIR780,0.005862033
CIR809,0.0058468147
CIR783,0.005770205
CIR768,0.0056826114
CIR794,0.00558928
CIR741,0.005562233
CIR769,0.0055278637
CIR800,0.005515078
CIR753,0.0054802606
CIR761,0.0054309415
CIR791,0.0053839204
CIR760,0.005367244
CIR782,0.0053671715
CIR812,0.0053653657
CIR795,0.005343003
CIR793,0.005329429
CIR747,0.0052995896
CIR772,0.0052985107
CIR778,0.0052960594
CIR764,0.005235033
CIR770,0.0052240063
CIR798,0.005199887
CIR814,0.0051874737
CIR749,0.0051859305
CIR751,0.005168808
CIR748,0.0051576965
CIR790,0.005124582
CIR752,0.005051783
CIR762,0.005045827
CIR831,0.005044712
CIR815,0.0050358158
CIR803,0.0050146426
CIR811,0.0050042905
CIR802,0.00500238
CIR763,0.0050023096
CIR784,0.004994178
CIR774,0.004966426
CIR779,0.0049558706
CIR796,0.00494401
CIR773,0.0048761372
CIR801,0.004874267
CIR758,0.004873635
CIR765,0.0048579024
CIR775,0.004845738
CIR746,0.0048377034
CIR745,0.0047993073
CIR755,0.0047440776
CIR756,0.004715106
CIR823,0.004713471
CIR777,0.004708969
CIR797,0.0045930804
CIR820,0.0045849066
CIR821,0.0045758393
FP_IDX,0.0045680194
CIR759,0.0045571057
CIR825,0.004545509
CIR754,0.0044974373
CIR832,0.004470603
CIR744,0.004467909
CIR840,0.004456544
CIR799,0.0044523957
CIR816,0.0044462234
CIR837,0.004418442
CIR732,0.0043930346
CIR849,0.0043746117
CIR736,0.004303492
CIR737,0.0042912452
CIR730,0.0042892084
CIR739,0.0042713624
CIR836,0.004269288
CIR828,0.0042573246
CIR838,0.004230687
CIR824,0.00420643
CIR817,0.0041923067
CIR757,0.0041709035
CIR738,0.004169658
CIR743,0.004168135
CIR834,0.004164303
CIR776,0.004124313
CIR733,0.004098851
CIR735,0.004075379
CIR842,0.004030049
CIR731,0.0040084342
CIR826,0.00400754
CIR835,0.003955712
CIR843,0.00393991
CIR846,0.0039225034
CIR750,0.0038923002
CIR844,0.0038767129
CIR829,0.0038634597
CIR822,0.003862641
CIR819,0.0037636908
CIR847,0.003760345
CIR771,0.0037491648
CIR734,0.0037144723
CIR830,0.0036884793
CIR827,0.003602035
CIR833,0.0035929324
CIR742,0.0035747746
CIR848,0.003573539
CIR845,0.0034873998
CIR839,0.0034475331
CIR841,0.0033696203
CH,0.0
PREAM_LEN,0.0
PEAK2_FOUND,0.0
PRFR,0.0
BITRATE,0.0
