Feature,Importance
RXPACC,0.17180371
FP_AMP3,0.04570786
CIR_PWR,0.038289335
SNR_dB,0.03156508
RANGE,0.030577231
MAX_NOISE,0.025909808
FP_AMP2,0.015506679
SNR,0.01478107
STDEV_NOISE,0.01376906
CIR767,0.008919473
FRAME_LEN,0.008703758
CIR740,0.008254631
CIR788,0.00783893
FP_AMP1,0.007604344
CIR770,0.0075730574
CIR804,0.007142393
CIR766,0.0069581554
CIR765,0.006902995
CIR778,0.0067869206
CIR768,0.0067183143
CIR813,0.0066360855
CIR749,0.006475432
CIR784,0.0064133015
CIR807,0.0063494653
CIR769,0.006329115
CIR806,0.006242341
CIR786,0.0061775665
CIR787,0.0059683984
CIR795,0.0059456043
CIR780,0.0059222216
CIR774,0.0059217075
CIR809,0.005917445
CIR789,0.0059103034
CIR791,0.0058595985
CIR792,0.00580142
FP_IDX,0.0057345475
CIR810,0.0057192068
CIR761,0.0056920964
CIR781,0.00559399
CIR808,0.0055699237
CIR771,0.0055301078
CIR803,0.005490736
CIR801,0.0054573617
CIR776,0.00545338
CIR782,0.005430181
CIR802,0.0054293745
CIR812,0.005423744
CIR818,0.0054074307
CIR785,0.0054011643
CIR753,0.0053718733
CIR816,0.005351115
CIR764,0.0052155475
CIR754,0.005178152
CIR747,0.005141695
CIR763,0.0051322263
CIR798,0.0051160916
CIR748,0.0051072408
CIR762,0.0050630737
CIR821,0.0050605265
CIR793,0.005044854
CIR755,0.004994278
CIR746,0.0049750158
CIR823,0.0049419007
CIR814,0.0049331645
CIR794,0.004930291
CIR783,0.0049263
CIR745,0.0048979507
CIR825,0.004881611
CIR752,0.0048624426
CIR796,0.004858531
CIR772,0.004840589
CIR815,0.004782739
CIR773,0.0047615976
CIR805,0.004741657
CIR779,0.0047228877
CIR757,0.0046891463
CIR732,0.0046590953
CIR760,0.0046353885
CIR777,0.0046353145
CIR758,0.004595712
CIR742,0.004547007
CIR811,0.004526997
CIR756,0.004505335
CIR849,0.004494761
CIR744,0.0044854917
CIR799,0.0044507636
CIR800,0.0044349246
CIR743,0.0044178036
CIR733,0.004416025
CIR775,0.0043407218
CIR751,0.004326924
CIR734,0.004278575
CIR731,0.0042550177
CIR790,0.004211112
CIR820,0.004205851
CIR797,0.004200156
CIR846,0.004193887
CIR741,0.0041899383
CIR828,0.004150318
CIR735,0.004100927
CIR837,0.004096874
CIR839,0.004090764
CIR831,0.0040705744
CIR830,0.004061715
CIR845,0.0040581366
CIR819,0.0039841323
CIR834,0.0039581396
CIR843,0.0039387196
CIR759,0.003934443
CIR838,0.0038773904
CIR817,0.0038581395
CIR836,0.0038435324
CIR739,0.0038301349
CIR730,0.003803158
CIR848,0.0037954808
CIR827,0.0037911432
CIR826,0.0037260465
CIR847,0.0037073663
CIR832,0.0036908705
CIR824,0.0036856178
CIR842,0.0036830737
CIR738,0.0036408904
CIR829,0.0036333534
CIR737,0.003608658
CIR844,0.0035846175
CIR736,0.0034906578
CIR833,0.0034558794
CIR840,0.0034209995
CIR841,0.0034077528
CIR750,0.0033803238
CIR835,0.0033044438
CIR822,0.003290333
CH,0.0
PREAM_LEN,0.0
PRFR,0.0
BITRATE,0.0
