Feature,Importance
RXPACC,0.13265002
SNR_per_acc,0.07352758
FP_power,0.04415657
noise_ratio,0.029974887
CIR_PWR,0.02824734
RANGE,0.020101046
signal_to_noise,0.019649416
CIR_skewness,0.016674675
MAX_NOISE,0.015579459
STDEV_NOISE,0.013921941
CIR_energy,0.013304139
CIR_rise_time,0.012757702
FP_AMP3,0.012288753
PEAK2_AMP,0.012014731
CIR_num_peaks,0.008460182
CIR761,0.0080984
FP_AMP2,0.007894975
SNR_dB,0.007857869
CIR_kurtosis,0.007790848
CIR757,0.0067806365
CIR764,0.0066308416
CIR821,0.006460301
CIR765,0.006072803
CIR804,0.0059485273
CIR820,0.005883549
PEAK2_GAP,0.0058578416
CIR793,0.005770251
CIR778,0.0057071582
CIR779,0.005656086
CIR777,0.005631596
SNR,0.005540226
CIR792,0.005437184
CIR825,0.0054062186
CIR782,0.0053703315
CIR798,0.0053022164
CIR805,0.0052548344
CIR776,0.005181385
FP_AMP1,0.005169301
CIR758,0.005115757
CIR780,0.0051020673
FP_AMP_ratio,0.0050745797
CIR783,0.005071032
CIR809,0.005063079
CIR803,0.0049943444
CIR822,0.004872044
CIR801,0.004830805
CIR800,0.0048204516
CIR794,0.0048024724
CIR824,0.004720806
FRAME_LEN,0.0047180005
CIR763,0.00469108
CIR768,0.0046748617
CIR799,0.004670713
CIR797,0.0046351636
CIR816,0.004634397
CIR781,0.0045553385
CIR813,0.004506137
CIR771,0.004489986
CIR790,0.004429596
CIR760,0.0044288686
CIR767,0.004375033
CIR796,0.004364207
CIR815,0.004350622
CIR788,0.0043101795
CIR769,0.0042854124
CIR795,0.0042778924
CIR791,0.004266118
CIR819,0.0042587207
CIR808,0.0042277956
CIR766,0.004212732
CIR839,0.004170975
CIR807,0.0041682506
PEAK2_IDX,0.004155774
CIR770,0.0041414355
CIR823,0.0040530246
CIR838,0.004035639
CIR818,0.004034734
CIR817,0.004029332
CIR759,0.004015277
CIR789,0.0039598057
CIR802,0.003947184
CIR829,0.0039462177
CIR784,0.0039321585
CIR811,0.0039166124
CIR773,0.003914449
CIR812,0.0038976602
CIR828,0.0038915712
CIR786,0.0038757192
CIR772,0.003855912
CIR756,0.0038058679
CIR810,0.0037990217
CIR787,0.0037907208
CIR775,0.0037625951
CIR834,0.0037436667
CIR785,0.0036353508
CIR843,0.0035815015
CIR806,0.0035716784
CIR826,0.0035600592
CIR762,0.0035523304
CIR842,0.0035356362
CIR831,0.0035316392
CIR830,0.0034828146
CIR845,0.00347102
CIR847,0.0034640762
CIR833,0.0034383822
CIR814,0.0034212111
CIR738,0.0033802604
CIR774,0.0033768152
CIR827,0.00337418
CIR750,0.0033654082
CIR744,0.0033651763
CIR849,0.0033332396
CIR745,0.0033020626
CIR836,0.003301998
CIR840,0.003294931
CIR837,0.0032724817
CIR741,0.0032506492
CIR832,0.0032356519
CIR731,0.003233224
CIR737,0.0032198436
CIR735,0.0031957133
CIR835,0.0031727382
CIR848,0.0031669238
CIR844,0.0031667247
CIR739,0.0031598567
CIR846,0.0031456552
CIR730,0.0031309808
CIR748,0.003096311
CIR740,0.0030655968
CIR742,0.0030643335
CIR747,0.003062491
CIR732,0.0030337432
CIR841,0.003018723
CIR736,0.0030027162
CIR751,0.0029711633
CIR746,0.0029677588
CIR743,0.0029386564
CIR733,0.0029272723
CIR734,0.0028766857
CIR754,0.0028617268
CIR752,0.0028526813
CIR753,0.0028432352
CIR749,0.002786101
CIR755,0.0027559288
FP_IDX,0.002498966
PEAK2_FOUND,0.0
CH,0.0
PREAM_LEN,0.0
BITRATE,0.0
PRFR,0.0
