Feature,Importance
PREAM_LEN,0.39831012
noise_ratio,0.08124644
PEAK2_GAP,0.06905818
RXPACC,0.057310894
CIR_num_peaks,0.029194448
PEAK2_IDX,0.015627922
CIR_skewness,0.013196081
CIR_energy,0.0119627705
SNR_per_acc,0.011484142
CIR_PWR,0.011289736
PEAK2_AMP,0.009960055
CIR_aligned_93,0.008948394
CIR_aligned_98,0.0073434794
CIR_aligned_92,0.006473567
CIR_aligned_97,0.0062393923
CIR_aligned_96,0.006181897
signal_to_noise,0.0057723955
CIR_aligned_95,0.0055866917
CIR_aligned_99,0.0052699954
CIR_aligned_90,0.005212558
FP_power,0.0048667095
CIR_aligned_101,0.0043318393
CIR_aligned_91,0.004035624
CIR_aligned_100,0.0040145074
CIR_aligned_102,0.004007798
CIR_aligned_88,0.0036069402
MAX_NOISE,0.0034993496
CIR_aligned_104,0.003346801
CIR_aligned_89,0.003266526
CIR_aligned_41,0.0032345848
CIR_aligned_39,0.0031836391
CIR_aligned_107,0.0030815038
STDEV_NOISE,0.0030547357
CIR_aligned_31,0.0029810914
FP_AMP3,0.0029789421
FRAME_LEN,0.0029640123
CIR_aligned_94,0.0027737988
CIR_rise_time,0.002757687
CIR_aligned_87,0.0027197886
CIR_aligned_40,0.0026982059
CIR_aligned_105,0.0026757307
FP_AMP2,0.0026445512
CIR_aligned_86,0.0026421181
CIR_aligned_30,0.0025959457
CIR_aligned_103,0.0025239405
CIR_aligned_42,0.002439962
FP_IDX,0.0023883388
CIR_aligned_26,0.002329537
CIR_aligned_27,0.0022956708
CIR_aligned_109,0.0022700476
CIR_kurtosis,0.002223982
CIR_aligned_106,0.0022142592
CIR_aligned_111,0.002213813
CIR_aligned_58,0.0021513002
CIR_aligned_110,0.002136918
CIR_aligned_81,0.0021305145
CIR_aligned_44,0.0021080098
CIR_aligned_108,0.0020286296
FP_AMP1,0.0020272043
CIR_aligned_38,0.0020167357
SNR_dB,0.0019875676
CIR_aligned_33,0.0019801648
CIR_aligned_43,0.0019004516
CIR_aligned_69,0.0018732446
CIR_aligned_83,0.001855886
CIR_aligned_59,0.0018482843
CIR_aligned_71,0.0017800829
CIR_aligned_85,0.0017731107
CIR_aligned_75,0.001749964
CIR_aligned_113,0.0017417672
CIR_aligned_28,0.0017352271
CIR_aligned_115,0.0017339564
CIR_aligned_72,0.0017334387
CIR_aligned_37,0.0017080242
CIR_aligned_64,0.001693058
CIR_aligned_74,0.0016930278
CIR_aligned_34,0.0016912603
CIR_aligned_114,0.0016589828
CIR_aligned_78,0.0016514459
CIR_aligned_77,0.0016452152
CIR_aligned_112,0.0016431825
CIR_aligned_73,0.0016426678
CIR_aligned_76,0.0016371843
CIR_aligned_61,0.001604897
CIR_aligned_32,0.0016038324
CIR_aligned_63,0.0015955115
CIR_aligned_68,0.0015861598
CIR_aligned_116,0.0015728521
CIR_aligned_54,0.0015592378
CIR_aligned_80,0.0015537774
FP_AMP_ratio,0.0015524778
CIR_aligned_45,0.0015519579
CIR_aligned_84,0.0015493428
CIR_aligned_79,0.0015476124
CIR_aligned_67,0.0015460085
CIR_aligned_57,0.0015438262
CIR_aligned_52,0.0015425332
CIR_aligned_55,0.0015387656
CIR_aligned_62,0.0015386835
CIR_aligned_53,0.0015194757
CIR_aligned_82,0.0015103417
CIR_aligned_65,0.001509728
CIR_aligned_66,0.0014994658
CIR_aligned_70,0.0014914579
CIR_aligned_24,0.0014695674
CIR_aligned_56,0.001455279
CIR_aligned_119,0.0014317983
CIR_aligned_118,0.0014284068
SNR,0.0014148274
CIR_aligned_51,0.0014123434
CIR_aligned_48,0.0013637631
CIR_aligned_60,0.0013483196
CIR_aligned_36,0.0013464787
CIR_aligned_46,0.0013461561
CIR_aligned_50,0.0013170525
CIR_aligned_35,0.0013169902
CIR_aligned_117,0.0013143012
CIR_aligned_47,0.0012795966
CIR_aligned_49,0.0012489277
CIR_aligned_25,0.0012369473
CIR_aligned_29,0.001189176
CIR_aligned_17,0.0011218489
CIR_aligned_11,0.0010875269
CIR_aligned_22,0.0010863569
CIR_aligned_18,0.0010783299
CIR_aligned_6,0.001070209
CIR_aligned_5,0.001069087
CIR_aligned_23,0.0010654212
CIR_aligned_0,0.0010648649
CIR_aligned_8,0.0010606664
CIR_aligned_15,0.0010604983
CIR_aligned_16,0.0010584788
CIR_aligned_21,0.0010544133
CIR_aligned_3,0.0010462789
CIR_aligned_1,0.0010382037
CIR_aligned_20,0.0010356723
CIR_aligned_2,0.0010304967
CIR_aligned_9,0.0010246293
CIR_aligned_13,0.0010209212
CIR_aligned_4,0.0010126368
CIR_aligned_12,0.0010117713
CIR_aligned_7,0.0010116046
CIR_aligned_14,0.0009992372
CIR_aligned_19,0.0009971517
CIR_aligned_10,0.0009681801
PEAK2_FOUND,0.0
CH,0.0
BITRATE,0.0
PRFR,0.0
